55.41;−48.46;21.47;3.25;−1.75;1.12;33.33;−81.80;−1.80;46.04;55.15
55.34;−48.86;21.47;3.25;−1.76;1.12;33.33;−82.00;−1.80;45.97;55.24
55.34;−48.86;21.47;3.25;−1.76;1.12;33.33;−82.00;−1.80;45.97;55.11
55.67;−46.86;21.47;3.25;−1.71;1.12;33.33;−81.02;−1.81;46.35;55.20
55.61;−47.26;21.47;3.25;−1.72;1.12;33.33;−81.21;−1.81;46.27;55.21
56.19;−43.62;21.47;3.25;−1.63;1.13;33.33;−79.45;−1.83;46.95;55.25
56.45;−42.00;21.47;3.25;−1.59;1.13;33.33;−78.67;−1.84;47.26;55.25
56.26;−43.22;21.47;3.25;−1.62;1.13;33.33;−79.26;−1.84;47.03;55.23
56.19;−43.62;21.47;3.25;−1.63;1.13;33.33;−79.45;−1.83;46.95;55.23
56.19;−43.62;21.47;3.25;−1.63;1.13;33.33;−79.45;−1.83;46.95;55.42
56.84;−39.56;21.47;3.25;−1.53;1.13;33.33;−77.50;−1.86;47.71;55.36
56.98;−38.74;21.47;3.25;−1.51;1.14;33.33;−77.10;−1.87;47.86;55.25
56.19;−43.62;21.47;3.25;−1.63;1.13;33.33;−79.45;−1.83;46.95;55.23
56.19;−43.62;21.47;3.25;−1.63;1.13;33.33;−79.45;−1.83;46.95;55.23
55.28;−49.27;21.47;3.25;−1.77;1.12;33.33;−82.19;−1.79;45.89;55.05
53.91;−57.61;21.56;3.24;−1.98;1.10;33.33;−86.30;−1.87;44.92;54.96
54.30;−55.24;21.58;3.24;−1.92;1.10;33.33;−85.13;−1.92;45.50;54.94
54.30;−55.24;21.58;3.24;−1.92;1.10;33.33;−85.13;−1.92;45.50;54.90
53.97;−57.22;21.58;3.24;−1.97;1.10;33.33;−86.11;−1.91;45.13;54.92
54.10;−56.43;21.58;3.24;−1.95;1.10;33.33;−85.71;−1.91;45.28;55.04
54.69;−52.86;21.58;3.24;−1.86;1.11;33.33;−83.95;−1.94;45.95;54.97
54.50;−54.05;21.58;3.24;−1.89;1.11;33.33;−84.54;−1.93;45.73;54.93
53.97;−57.22;21.58;3.24;−1.97;1.10;33.33;−86.11;−1.91;45.13;54.90
54.04;−56.82;21.58;3.24;−1.96;1.10;33.33;−85.91;−1.91;45.20;54.90
53.97;−57.22;21.58;3.24;−1.97;1.10;33.33;−86.11;−1.91;45.13;54.91
53.65;−59.18;21.58;3.24;−2.02;1.10;33.33;−87.08;−1.89;44.76;54.88
53.84;−58.00;21.58;3.24;−1.99;1.10;33.33;−86.50;−1.90;44.98;54.95
53.84;−58.00;21.58;3.24;−1.99;1.10;33.33;−86.50;−1.90;44.98;54.95
54.43;−54.45;21.58;3.24;−1.90;1.11;33.33;−84.74;−1.93;45.65;54.95
54.30;−55.24;21.58;3.24;−1.92;1.10;33.33;−85.13;−1.92;45.50;54.99
54.63;−53.26;21.58;3.24;−1.87;1.11;33.33;−84.15;−1.93;45.87;55.03
54.63;−53.26;21.58;3.24;−1.87;1.11;33.33;−84.15;−1.93;45.87;55.16
55.87;−45.65;21.58;3.24;−1.68;1.12;33.33;−80.43;−1.99;47.29;55.09
55.34;−48.86;21.58;3.24;−1.76;1.12;33.33;−82.00;−1.97;46.70;55.22
55.74;−46.45;21.58;3.24;−1.70;1.12;33.33;−80.82;−1.98;47.14;55.15
55.74;−46.45;21.58;3.24;−1.70;1.12;33.33;−80.82;−1.98;47.14;55.07
54.89;−51.66;21.58;3.24;−1.83;1.11;33.33;−83.37;−1.95;46.17;55.05
54.89;−51.66;21.58;3.24;−1.83;1.11;33.33;−83.37;−1.95;46.17;55.00
54.63;−53.26;21.58;3.24;−1.87;1.11;33.33;−84.15;−1.93;45.87;54.95
54.30;−55.24;21.58;3.24;−1.92;1.10;33.33;−85.13;−1.92;45.50;54.95
54.56;−53.65;21.58;3.24;−1.88;1.11;33.33;−84.34;−1.93;45.80;54.96
54.56;−53.65;21.58;3.24;−1.88;1.11;33.33;−84.34;−1.93;45.80;54.93
54.17;−56.03;21.58;3.24;−1.94;1.10;33.33;−85.52;−1.91;45.35;54.97
54.43;−54.45;21.58;3.24;−1.90;1.11;33.33;−84.74;−1.93;45.65;54.98
54.43;−54.45;21.58;3.24;−1.90;1.11;33.33;−84.74;−1.93;45.65;54.90
53.97;−57.22;21.58;3.24;−1.97;1.10;33.33;−86.11;−1.91;45.13;54.95
54.30;−55.24;21.58;3.24;−1.92;1.10;33.33;−85.13;−1.92;45.50;54.90
54.37;−54.84;21.58;3.24;−1.91;1.10;33.33;−84.93;−1.92;45.58;54.99
54.37;−54.84;21.58;3.24;−1.91;1.10;33.33;−84.93;−1.92;45.58;55.01
54.63;−53.26;21.58;3.24;−1.87;1.11;33.33;−84.15;−1.93;45.87;55.06
